uuid,order,bank_name,bik,bank_code,country,is_active,is_license_revocation,bik_end_date_bvu,is_bvu,parent
7f7e37b9-fe9d-ce2c-4f61-03aefdea1e54,13,"АО ""Altyn Bank""",ATYNKZKA,949,Китай,TRUE,,,TRUE,
1a829f11-cc85-8e3f-4dff-d61e07d9c055,14,"АО ""Банк Китая в Казахстане""""",BKCHKZKA,913,Китай,TRUE,,,TRUE,
28427f70-f601-647f-45da-ca35ae05fed5,15,"АО ""ТП Банк Китая в Алматы""",ICBKKZKX,930,Китай,TRUE,,,TRUE,
acb02576-4651-3496-4ea3-be9d2180865b,16,"АО ""Шинхан Банк Казахстан”",SHBKKZKA,435,Ю. Корея,TRUE,,,TRUE,
cec67be4-9915-496b-425f-faae7ad8c6f7,17,"АО ""Нурбанк""",NURSKZKX,849,Казахстан,TRUE,,,TRUE,
306c4b7a-d0a6-04d5-473e-aaaeb9940f36,18,"АО ""KMF Банк""",KMFBKZKK,719,Казахстан,TRUE,,,TRUE,
0901f31a-7a2f-fed5-4888-0316ea5ba2d7,19,"АО ""КЗИ Банк""",KZIBKZKA,885,Турция,TRUE,,,TRUE,
2542d4d8-cd6b-0235-4a28-33e960151ee4,20,"АО ""Исламский банк ""ADCB""",HLALKZKZ,246,ОАЭ,TRUE,,,TRUE,
12529044-a3ae-20dd-4524-16d27d6bf217,21,"АО ""Банк ВТБ (Казахстан)""",VTBAKZKZ,432,Россия,TRUE,,,TRUE,
f27e28fa-8a09-f383-496b-566e91ecfddf,22,"АО ""Исламский банк ""Заман-Банк""",ZAJSKZ22,896,Казахстан,TRUE,,,TRUE,
0b9dbaec-9217-0837-4ea2-d59a7450de19,23,"АО ""BNK Commercial Bank”",MOKFKZKA,724,Ю. Корея,TRUE,,,TRUE,
3128dd78-6dbd-112a-4df9-5de9e3586ac8,24,"АО ""Евразийский банк развития""",EABRKZKA,700,Казахстан,TRUE,,,FALSE,
b04a2312-7ece-f3d4-4d89-87bc066c564c,25,"РГУ ""Комитет государственного казначейства МинФин РК""",KKMFKZ2A,70,Казахстан,TRUE,,,FALSE,
45a87ff2-0fe5-2966-4453-3eda9df7cff8,26,"АО ""Банк развития Казахстана""",DVKAKZKA,907,Казахстан,TRUE,,,FALSE,
b8c3a188-d59e-4b1c-b4aa-945991a2d7d0,27,"АО ""КАЗПОЧТА""",KPSTKZKA,563,Казахстан,TRUE,,,FALSE,
b36993fd-14d2-49a0-a1c2-6de4bfce08f0,28,"НАО Государственная корпорация ""Правительство для граждан""",GCVPKZ2A,9,Казахстан,TRUE,,,FALSE,
77dc79a3-5c80-4fdd-9e7a-8b27e9776673,29,"АО ""Центральный Депозитарий Ценных Бумаг""",CEDUKZKA,766,Казахстан,TRUE,,,FALSE,
d09bc5a8-efa4-4570-a955-7c61ea564b26,30,Межгосударственный банк,INEARUMM,550,Казахстан,TRUE,,,FALSE,
1bc3599e-49f4-4404-abca-871127c8ee12,31,"АО ""Клиринговый центр KASE""",KCCJKZKK,715,Казахстан,TRUE,,,FALSE,
90b3afe1-063a-4d54-8fcb-854d6d8b4a56,32,"АО ""Казахстанская фондовая биржа""",KICEKZKX,927,Казахстан,TRUE,,,FALSE,
37c26aaa-ca29-4ae8-bb63-9e0990d8c284,33,РГУ Национальный Банк Республики Казахстан,NBRKKZKX,125,Казахстан,TRUE,,,FALSE,
16695906-faa5-01b8-44ce-ce5c17141591,34,"АО ДБ ""АЛЬФА-БАНК""",,,Россия,FALSE,,13.05.2022,TRUE,
358d8827-5dc3-28ea-47a5-36b21510a5fd,35,"АО ДБ ""Сбербанк""",,,Россия,FALSE,,14.09.2022,TRUE,
12a3a00f-56a6-f09a-4725-bb2fb32be7d3,36,"АО ""First Heartland Jusan Bank""",,,Казахстан,FALSE,,16.06.2025,TRUE,
36e60eec-8192-5a82-4a9c-e5716d77cf61,37,"АО ""Альянс Банк""",,,Казахстан,FALSE,,10.02.2015,TRUE,
54ab20d9-f40a-c546-4b88-77c6296c5fc9,38,"АО ""АТФБанк""",,,Казахстан,FALSE,,05.10.2021,TRUE,
9e90e6a2-813b-53de-480a-b33e9fc07014,39,"АО ""Банк Kassa Nova""",,,Казахстан,FALSE,,09.02.2021,TRUE,
54784f70-bfde-82dc-4a64-d9fdac5a3fe9,40,"АО ""БТА Банк""",,,Казахстан,FALSE,,23.06.2015,TRUE,
65947889-9b8c-2025-4da0-26245436635a,41,"АО ""КАЗКОММЕРЦБАНК""",,,Казахстан,FALSE,,28.07.2018,TRUE,
1ddae252-5916-0f4a-476e-0c3f576d9d3e,42,"АО ""Цеснабанк""",,,Казахстан,FALSE,,22.04.2019,TRUE,
1a0c9887-4d28-488e-a4e6-bc4341190859,43,"АО ""Темирбанк""",,,Казахстан,FALSE,,01.01.2015,TRUE,
6def68da-68e8-474d-b41f-a45bc58641ca,44,"АО ""Eco Center Bank""",,,Казахстан,FALSE,,13.05.2022,TRUE,
9b1f41e8-d26c-44ba-87c6-4a64035ec380,45,"АО ""Capital Bank Kazakhstan""",,,Казахстан,FALSE,TRUE,24.06.2021,TRUE,
0fca737e-6d39-49e4-b784-4ae17c5cc3e3,46,"АО ""Tengri Bank""",,,Казахстан,FALSE,TRUE,18.09.2020,TRUE,
e4841233-68c5-4beb-9414-daeeffdaa7e1,47,"АО ""Банк Астаны""",,,Казахстан,FALSE,TRUE,19.09.2018,TRUE,
d380df46-7d6b-42bb-8860-9b60d74e524f,48,"АО ""Qazaq Banki""",,,Казахстан,FALSE,TRUE,28.08.2018,TRUE,
6b5f2454-8f5c-4063-b47a-deb1600cab5e,49,"АО ""Эксимбанк Казахстан""",,,Казахстан,FALSE,TRUE,28.08.2018,TRUE,
ac39df80-045c-4edf-add3-3aba06cf19d8,50,"АО ""Казинвестбанк""",,,Казахстан,FALSE,TRUE,27.12.2016,TRUE,
372596b4-8823-45e5-8235-b22359e78302,51,"АО ""Валют-Транзит Банк""",,,Казахстан,FALSE,TRUE,01.12.2006,TRUE,
a274a282-04ca-5ed1-4058-64d4121e689c,52,"АО ""AsiaCreditBank""",,,Казахстан,FALSE,TRUE,12.02.2021,TRUE,
f82adfef-ef99-b563-4024-1c8dcd7e091c,53,"АО ""Delta Bank""",,,Казахстан,FALSE,TRUE,03.11.2017,TRUE,
774fd425-10d8-4a76-bea5-c5091979a920,54,"АО ""Демир Казахстан Банк""",,,Казахстан,FALSE,,,TRUE,
3587c35b-3a55-42f5-8519-a9213391ff0c,55,"АО ""Банк Позитив""",,,Казахстан,FALSE,,,TRUE,
1c2c6841-3cf7-4d4a-b31c-a16c554dc93d,56,"АО ""Казагропромбанк""",,,Казахстан,FALSE,,,TRUE,
ab0e54a5-a160-4575-9853-58618521658a,57,"АО ""Наурыз банк""",,,Казахстан,FALSE,,,TRUE,
5b442e26-189b-498f-80c5-caf39f442b7d,58,"АО ""Сеним банк""",,,Казахстан,FALSE,,,TRUE,
edbf32d0-02ce-4365-a80f-5a93c050cc36,59,"АО ""Банк FTD""",,,Казахстан,FALSE,,,TRUE,
54258577-4cb9-4fd7-b1d6-f1a954e249d2,60,"АО ""МБ Алма-Ата""",,,Казахстан,FALSE,,,TRUE,
50ffd211-98e7-4663-8bd5-0792ab4c987c,61,"АО ""HSBC""",,,Казахстан,FALSE,,,TRUE,
db04ec19-2d61-4625-af0f-ca0bfa353c2a,62,"АО ""Лариба Банк""",,,Казахстан,FALSE,,,TRUE,
09764b5a-cd70-44ae-b781-2ec22f6bd595,63,"АО ""Казинкомбанк""",,,Казахстан,FALSE,,,TRUE,
35de12fe-58fd-4ca5-a48d-8c427ba70e48,64,"АО ""Метрокомбанк""",,,Казахстан,FALSE,,,TRUE,
25829ce2-8c58-4725-a84d-6a726c636d1e,65,"АО ""Texakabank""",,,Казахстан,FALSE,,,TRUE,
b7cb1c48-be99-4f6b-9dbb-4e6cb9a622d0,66,"АО ""Туранбанк""",,,Казахстан,FALSE,,,TRUE,
eae77f11-ac7e-4e06-b1ea-fe35fce2d08c,67,"АО ""АлемБанк""",,,Казахстан,FALSE,,,TRUE,
91c7e0ea-1d41-476a-9292-4f9ea2ddc666,68,"АО ""БанкТуранАлем""",,,Казахстан,FALSE,,,TRUE,
5b549c82-3fb0-4335-b1f5-f89df820f01f,69,"АО ""Банк Каспийский""",,,Казахстан,FALSE,,,TRUE,
a5a0ad19-2e31-443f-a713-865d02be9e7c,70,"АО ""First Heartland Bank""",,,Казахстан,FALSE,,,TRUE,
c40100cc-fc90-4967-ac03-2ee13f4ad03f,71,"ОАО ""Каздорбанк""",,,Казахстан,FALSE,,,TRUE,
dead5720-789a-4e56-9b25-0dd605259d33,72,Казахстанское подразделение Внешэкономбанк СССР,,,Казахстан,FALSE,,,TRUE,
be06bb36-6fec-44e0-b6ca-bf8c2f62eb14,73,Казахстанское подразделение Промстройбанк СССР,,,Казахстан,FALSE,,,TRUE,
f1d7ec6c-b7ab-4b9a-9eb2-c3aa144cca22,74,Казахстанское подразделение Сберегательный банк СССР,,,Казахстан,FALSE,,,TRUE,
2aba783d-aa64-4c43-b1f1-7fdc4e7daf10,75,Казахстанское подразделение Агропромбанк СССР,,,Казахстан,FALSE,,,TRUE,
e1d2386d-efad-48cb-8617-81e1aa769c5a,76,Казахстанское подразделение Жилсоцбанка СССР,,,Казахстан,FALSE,,,TRUE,
